Var1,Freq,,,,GT
1,Chamaecrista desvauxii,15,3,,
2,Chamaecrista diphylla,33,3,,
3,Chamaecrista ramosa,14,3,,
4,Codonanthe calcarata,5,3,,
5,Codonanthe crassifolia,8,3,,
6,Cordia alliodora,10,1,"Freijó - distribui-se de modo descontínuo, do México até a Argentina",
7,Cyperus articulatus,8,1,"Priprioca – Espécie muito característica da Amazônia, “Perfume da Amazônia” -  tem distribuição na América tropical e subtropical",
8,Eperua falcata,6,3,,
9,Ficus insipida,210,1,"Brasil, Argentina, Paraguai, Bolívia, Guianas, Antilhas e toda América Central","~17,90 dias (A.ficus)"
10,Ipomoea cavalcantei,5,1,Trepadeira – ocorre apenas na Serra dos Carajás,
11,Ipomoea marabensis,37,3,,
12,Iriartea deltoidea,18,3,,
13,Iriartella setigera,10,3,,
14,Iriartella stenocarpa,12,3,,
15,Isoetes cangae,36,3,,
16,Isoetes serracarajensis,235,3,,
17,Jacaranda copaia,24,1,reflorestamento (cresce rápido) - É nativo da América Central e das partes norte e oeste da América do Sul,
18,Leonia cymosa,15,3,,
19,Nematanthus savannarum,5,3,,
20,Pagamea acrensis,13,3,,
21,Pagamea anisophylla,7,3,,
22,Pagamea aracaensis,23,3,,
23,Pagamea capitata,12,3,,
24,Pagamea coriacea,59,3,,
25,Pagamea duckei,15,3,,
26,Pagamea guianensis,200,1,https://bdtd.inpa.gov.br/handle/tede/2276,
27,Pagamea hirsuta,8,3,,
28,Pagamea macrophylla,6,3,,
29,Pagamea montana,6,3,,
30,Pagamea plicata,35,3,,
31,Pagamea plicatiformis,49,3,,
32,Pagamea puberula,63,3,,
33,Pagamea sessiliflora,5,3,,
34,Pagamea thyrsiflora,8,3,,
35,Pteridium caudatum,6,3,,
36,Socratea exorrhiza,11,1,"Palmeira andante – tronco diferente, foge da sombra de outras árvores -  ocorre da América Central até à Bacia do Amazonas",
37,Socratea salazarii,21,1,"Palmeira de ampla distribuição – Bolívia, Brasil, Colômbia, Costa Rica, Equador, Guiana, Nicarágua, Panamá, Peru, Suriname e Venezuela. ",
38,Spondias dulcis,10,3,,
39,Spondias mombin,100,1,"Cajazeira - se desenvolve em clima úmido, subúmido e quentes – México ao norte da Argentina e por quase todo Brasil",
40,Spondias testudinis,20,3,,
41,Symphonia globulifera,96,1,"utilizada como planta medicinal, terrenos alagadiços - uma árvore nativa da América Latina e da África tropical.",
42,Wettinia augusta,51,1,"ocorrência no Brasil, Peru, Bolívia e Colômbia",
43,Wettinia drudei,38,3,,
44,Wettinia maynensis,10,3,,
